,coef
Intercept,0.07925145471404693
C(risk)[T.1],1.938604502328698
C(reward)[T.1],0.8847483330408219
"C(habit)[T.187.0,152.0,304.0,240.0; 567.9,88.6,621.1,140.3]",0.5999307181763915
"C(habit)[T.218.0,171.0,381.0,269.0; 239.0,106.0,315.0,155.0]",1.1186772475822284
"C(habit)[T.243.6,235.6,432.2,329.8; 559.0,244.0,622.0,395.0]",1.577340258653035
"C(habit)[T.245.6,179.5,321.4,314.0; 522.4,0.3,592.0,95.5]",0.6928786969608525
"C(habit)[T.373.0,80.0,504.0,148.0; 274.6,110.7,382.4,267.3]",1.0930652570544561
"C(habit)[T.380.6,321.1,550.6,477.5; 263.0,267.0,421.0,435.0]",4.348109655698772
"C(habit)[T.397.7,159.7,580.2,330.5; 252.0,92.0,346.0,149.0]",0.6015075368180006
"C(habit)[T.405.6,112.3,513.1,215.4; 464.1,197.7,614.9,334.3; 511.5,301.1,639.4,388.9]",0.8485688766572276
"C(habit)[T.415.0,86.5,559.2,140.2; 66.0,157.0,285.0,279.0]",1.0935796203759225
"C(habit)[T.417.7,117.1,635.5,346.0; 243.0,272.0,308.0,379.0; 438.0,230.0,494.0,291.0]",1.7290475572771595
"C(habit)[T.423.0,155.9,535.6,370.9; 238.0,99.0,314.0,160.0]",0.42589265097761575
"C(habit)[T.44.0,77.0,157.0,240.0; 253.0,96.0,346.0,147.0]",-0.01581912762797888
"C(habit)[T.501.0,358.4,636.2,423.4; 476.0,103.0,634.0,206.0]",2.9655218804859573
"C(habit)[T.511.7,236.3,632.2,404.5; 445.0,199.0,503.0,245.0]",1.769727515327893
"C(habit)[T.530.0,20.0,611.0,156.0; 227.6,128.8,290.8,208.0]",-0.13606547789127058
"C(habit)[T.94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3]",2.290702565447511
C(habit)[T.all_pick],1.534506769177403
C(habit)[T.attack_rat],-1.6081889081840048
C(habit)[T.bat],-0.050085020806515695
C(habit)[T.bat_and_pick],-0.42186232628839965
C(habit)[T.bat_and_pick_far],-2.73757231452895
C(habit)[T.bat_and_rat],-0.10590032003774213
C(habit)[T.bat_fight],-0.1251340719848057
C(habit)[T.bat_fight_and_pick],-1.544655374462074
C(habit)[T.bat_fight_and_rat],1.4044788732355826
C(habit)[T.bat_fight_rat],1.3873366046711142
C(habit)[T.bat_figiht],-1.1059566188887495
C(habit)[T.bat_pick],0.311279496959396
C(habit)[T.bat_pick_rat],-0.7779928404310383
C(habit)[T.bat_rat],-0.7650597790901996
C(habit)[T.bat_rat_pick],-1.3108727591432467
C(habit)[T.bats],-0.17366723093949027
C(habit)[T.both],4.1225683883316036
C(habit)[T.bowl_out],1.002621637310415
C(habit)[T.eating],5.017289615341564
C(habit)[T.eating_and_bat_and_pick],1.9275747157160659
C(habit)[T.eating_bat_pick],1.507858534746926
C(habit)[T.eating_bat_rat_pick],2.0568296576076834
C(habit)[T.fast],-0.07089212016382077
C(habit)[T.fast_and_pick],-0.32835912200472983
C(habit)[T.fast_far],-0.495124379552213
C(habit)[T.fight],0.7681115815854883
C(habit)[T.fight_bat],1.0772524469989255
C(habit)[T.fight_rat],-0.008414181841405632
C(habit)[T.gaze],0.8088540719208733
C(habit)[T.no_food],1.047863725958573
C(habit)[T.not_sure_rat],-0.9449935569689611
C(habit)[T.other],1.0522215856926753
C(habit)[T.other directions],1.4125704569794744
C(habit)[T.other_bat],0.4481636792864094
C(habit)[T.other_bats],0.34184711835366766
C(habit)[T.other_bats/rat],0.9468125728516603
C(habit)[T.others],-0.9130386582265333
C(habit)[T.pick],1.2302313497668291
C(habit)[T.pick_and_all],-0.4915096004565999
C(habit)[T.pick_and_bat],-0.4314258248137937
C(habit)[T.pick_and_others],0.08625518862465509
C(habit)[T.pick_and_rat],-0.7193839596497029
C(habit)[T.pick_bat],-0.059455885678454945
C(habit)[T.pick_bat_rat],0.19969417267481182
C(habit)[T.pick_eating_all],1.1543579948081817
C(habit)[T.pick_rat],0.03372586144339007
C(habit)[T.pick_rat_and_bat],0.13007500040220554
C(habit)[T.pick_rat_bat],2.1750012485125922
C(habit)[T.pup_and_mon],1.4539108464459143
C(habit)[T.rat],-0.2651380359467296
C(habit)[T.rat attack],0.2958690181149548
C(habit)[T.rat_and_bat],0.11210801475459481
C(habit)[T.rat_and_bat_and_pick],0.20197291151532748
C(habit)[T.rat_and_no_food],-0.7779211378504309
C(habit)[T.rat_and_others],-0.06349907862040038
C(habit)[T.rat_and_pick],0.49768005411966726
C(habit)[T.rat_and_rat],1.5758695205960678
C(habit)[T.rat_attack],-1.6670505656545191
C(habit)[T.rat_bat],0.4339413102381866
C(habit)[T.rat_bat_fight],1.689044647298748
C(habit)[T.rat_disappear],-0.1870634558285556
C(habit)[T.rat_pick],-0.06446994483113117
C(habit)[T.rat_pick_and_bat],-2.708718171030134
C(habit)[T.rat_to_bat],-2.026693330868876
rat_activity_index,0.24155488187931135
rat_minutes,-0.20226589152359342
rat_arrival_number,0.11106969099972411
food_availability,-0.1083538907888784
hours_after_sunset,-0.07324309722041576
food_x_season,0.09204533365567029
